"","nfl_id","player_name","player_position"
"1",54527,"Bryan Cook","FS"
"2",46137,"Justin Reid","SS"
"3",52546,"L'Jarius Sneed","CB"
"4",53487,"Nick Bolton","MLB"
"5",54486,"Trent McDuffie","CB"
"6",53541,"Amon-Ra St. Brown","WR"
"7",53959,"Brock Wright","TE"
"8",43290,"Jared Goff","QB"
"9",44930,"Josh Reynolds","WR"
"10",44888,"Alex Anzalone","OLB"
"11",55910,"Brian Branch","SS"
"12",47888,"C.J. Gardner-Johnson","SS"
"13",44906,"Cameron Sutton","CB"
"14",53953,"Jerry Jacobs","CB"
"15",54562,"Kerby Joseph","FS"
"16",54653,"Malcolm Rodriguez","ILB"
"17",46213,"Justin Watson","WR"
"18",46243,"Marquez Valdes-Scantling","WR"
"19",53591,"Noah Gray","TE"
"20",54519,"Skyy Moore","WR"
"21",44822,"Patrick Mahomes","QB"
"22",41325,"Jerick McKinnon","RB"
"23",53542,"Derrick Barnes","MLB"
"24",52440,"Clyde Edwards-Helaire","RB"
"25",46309,"Richie James","WR"
"26",54495,"George Karlaftis","DE"
"27",47882,"Mike Edwards","FS"
"28",43584,"Kalif Raymond","WR"
"29",55899,"Sam LaPorta","TE"
"30",38696,"Marvin Jones","WR"
"31",54600,"Joshua Williams","CB"
"32",55984,"Chamarri Conner","SS"
"33",52471,"Willie Gay Jr.","ILB"
"34",47856,"David Montgomery","RB"
"35",55876,"Jahmyr Gibbs","RB"
"36",54568,"Leo Chenal","OLB"
"37",46424,"Jason Cabinda","FB"
"38",55882,"Jack Campbell","MLB"
"39",54716,"Isiah Pacheco","RB"
"40",55920,"Rashee Rice","WR"
"41",42460,"Blake Bell","TE"
"42",53449,"Kadarius Toney","WR"
"43",44834,"Charles Harris","DE"
"44",52585,"Michael Danna","DE"
"45",54511,"Joshua Paschal","DE"
"46",47913,"Drue Tranquill","ILB"
"47",54885,"Justyn Ross","WR"
"48",55895,"Felix Anudike-Uzomah","DE"
"49",54682,"James Houston","DE"
"50",53724,"Matt Bushman","TE"
"51",47864,"Will Harris","SS"
"52",52424,"A.J. Terrell","CB"
"53",52272,"Dee Alford","CB"
"54",46123,"Jessie Bates","SS"
"55",48027,"Kaden Elliss","ILB"
"56",53469,"Richie Grant","SS"
"57",46215,"Tre Flowers","CB"
"58",40488,"Adam Thielen","WR"
"59",46094,"Hayden Hurst","TE"
"60",55904,"Jonathan Mingo","WR"
"61",52450,"Laviska Shenault Jr.","WR"
"62",55865,"Bryce Young","QB"
"63",53488,"Terrace Marshall Jr.","WR"
"64",54523,"Troy Andersen","ILB"
"65",47836,"Miles Sanders","RB"
"66",53555,"Chuba Hubbard","RB"
"67",53512,"Tommy Tremble","TE"
"68",46124,"Donte Jackson","CB"
"69",53437,"Jaycee Horn","CB"
"70",52472,"Jeremy Chinn","SS"
"71",42368,"Shaq Thompson","MLB"
"72",43350,"Vonn Bell","SS"
"73",45004,"Xavier Woods","FS"
"74",55872,"Bijan Robinson","RB"
"75",53433,"Kyle Pitts","TE"
"76",44931,"Mack Hollins","WR"
"77",54539,"Desmond Ridder","QB"
"78",54473,"Drake London","WR"
"79",46527,"Frankie Luvu","OLB"
"80",42816,"Troy Hill","CB"
"81",47991,"Scott Miller","WR"
"82",54616,"Tyler Allgeier","RB"
"83",52417,"C.J. Henderson","CB"
"84",44912,"Jonnu Smith","TE"
"85",52858,"Giovanni Ricci","TE"
"86",54503,"Arnold Ebiketie","OLB"
"87",46170,"Ian Thomas","TE"
"88",37145,"Justin Houston","OLB"
"89",52542,"Jaylinn Hawkins","FS"
"90",54540,"Christian Harris","OLB"
"91",42391,"Denzel Perryman","ILB"
"92",54468,"Derek Stingley Jr.","CB"
"93",43395,"Eric Murray","SS"
"94",54502,"Jalen Pitre","FS"
"95",42441,"Steven Nelson","CB"
"96",46672,"Tavierre Thomas","FS"
"97",52463,"J.K. Dobbins","RB"
"98",42363,"Nelson Agholor","WR"
"99",41238,"Odell Beckham","WR"
"100",55886,"Zay Flowers","WR"
"101",46101,"Lamar Jackson","QB"
"102",54604,"Isaiah Likely","TE"
"103",53819,"Ar'Darius Washington","FS"
"104",53533,"Brandon Stephens","CB"
"105",52627,"Geno Stone","FS"
"106",44854,"Marcus Williams","FS"
"107",43694,"Michael Pierce","NT"
"108",52436,"Patrick Queen","ILB"
"109",42393,"Ronald Darby","CB"
"110",46206,"Dalton Schultz","TE"
"111",53518,"Nico Collins","WR"
"112",45052,"Noah Brown","WR"
"113",55934,"Tank Dell","WR"
"114",55866,"C.J. Stroud","QB"
"115",54572,"Dameon Pierce","RB"
"116",56032,"Henry To'oTo'o","OLB"
"117",44902,"Shaquill Griffin","CB"
"118",53456,"Rashod Bateman","WR"
"119",54479,"Kyle Hamilton","SS"
"120",46077,"Roquan Smith","MLB"
"121",39989,"Robert Woods","WR"
"122",54635,"Teagan Quitoriano","TE"
"123",43797,"Cory Littleton","OLB"
"124",48096,"Andrew Beck","FB"
"125",47857,"Devin Singletary","RB"
"126",46461,"Mike Boone","RB"
"127",52506,"Malik Harrison","ILB"
"128",53460,"Odafe Oweh","OLB"
"129",54510,"David Ojabo","OLB"
"130",43366,"Daryl Worley","FS"
"131",46122,"M.J. Stewart","FS"
"132",46437,"Gus Edwards","RB"
"133",54593,"Charlie Kolar","TE"
"134",52897,"Grayland Arnold","FS"
"135",47817,"Rock Ya-Sin","CB"
"136",56070,"Xavier Hutchinson","WR"
"137",44974,"Anthony Walker","MLB"
"138",46073,"Denzel Ward","CB"
"139",52452,"Grant Delpit","SS"
"140",53455,"Greg Newsome II","CB"
"141",54533,"Martin Emerson","CB"
"142",38843,"Rodney McLeod","FS"
"143",56405,"Ronnie Hickman Jr.","FS"
"144",52441,"Tee Higgins","WR"
"145",47965,"Trayveon Williams","RB"
"146",48471,"Trenton Irwin","WR"
"147",43344,"Tyler Boyd","WR"
"148",52409,"Joe Burrow","QB"
"149",53434,"Ja'Marr Chase","WR"
"150",54525,"Cam Taylor-Britt","CB"
"151",44872,"Chidobe Awuzie","CB"
"152",54496,"Daxton Hill","CB"
"153",47855,"Germaine Pratt","OLB"
"154",52473,"Logan Wilson","MLB"
"155",43641,"Mike Hilton","CB"
"156",48026,"Nick Scott","FS"
"157",42347,"Amari Cooper","WR"
"158",52595,"Donovan Peoples-Jones","WR"
"159",53463,"Elijah Moore","WR"
"160",46167,"Jordan Akins","TE"
"161",44824,"Deshaun Watson","QB"
"162",46104,"Nick Chubb","RB"
"163",53481,"Jeremiah Owusu-Koramoah","OLB"
"164",47863,"Sione Takitaki","OLB"
"165",44860,"Joe Mixon","RB"
"166",47833,"Irv Smith","TE"
"167",40026,"Marquise Goodwin","WR"
"168",53540,"Cameron Sample","DE"
"169",55925,"DJ Turner II","CB"
"170",55939,"Cedric Tillman","WR"
"171",44841,"David Njoku","TE"
"172",52515,"Akeem Davis-Gaither","ILB"
"173",54621,"Jerome Ford","RB"
"174",54543,"Alex Wright","DE"
"175",46138,"B.J. Hill","DT"
"176",52523,"Harrison Bryant","TE"
"177",54564,"David Bell","WR"
"178",44915,"Trey Hendrickson","DE"
"179",44813,"Myles Garrett","DE"
"180",42465,"Za'Darius Smith","DE"
"181",53631,"Chris Evans","RB"
"182",56007,"Cameron Mitchell","CB"
"183",41464,"Shelby Harris","DT"
"184",47835,"Drew Sample","TE"
"185",48208,"Jake Browning","QB"
"186",53494,"Andre Cisco","FS"
"187",46456,"Darious Williams","CB"
"188",54492,"Devin Lloyd","MLB"
"189",46269,"Foye Oluokun","OLB"
"190",44926,"Rayshawn Jenkins","SS"
"191",46700,"Tre Herndon","CB"
"192",53462,"Tyson Campbell","CB"
"193",54518,"Alec Pierce","WR"
"194",53703,"Deon Jackson","RB"
"195",55944,"Josh Downs","WR"
"196",52442,"Michael Pittman","WR"
"197",55868,"Anthony Richardson","QB"
"198",54657,"Andrew Ogletree","TE"
"199",54980,"Dallis Flowers","CB"
"200",55137,"Darrell Baker Jr.","CB"
"201",52493,"Julian Blackmon","FS"
"202",45287,"Kenny Moore II","CB"
"203",54704,"Rodney Thomas","FS"
"204",46105,"Shaquille Leonard","MLB"
"205",46304,"Zaire Franklin","MLB"
"206",46095,"Calvin Ridley","WR"
"207",46116,"Christian Kirk","WR"
"208",44835,"Evan Engram","TE"
"209",53454,"Travis Etienne","RB"
"210",53430,"Trevor Lawrence","QB"
"211",44849,"Zay Jones","WR"
"212",47947,"E.J. Speed","MLB"
"213",54466,"Travon Walker","DE"
"214",44792,"Mo Alie-Cox","TE"
"215",55926,"Brenton Strange","TE"
"216",47790,"Josh Hines-Allen","DE"
"217",53556,"Kylen Granson","TE"
"218",53574,"Luke Farrell","TE"
"219",46724,"Tony Brown","CB"
"220",55953,"Tank Bigsby","RB"
"221",44985,"Isaiah McKenzie","WR"
"222",48508,"Andrew Wingard","FS"
"223",56041,"Evan Hull","RB"
"224",52428,"K'Lavon Chaisson","OLB"
"225",53662,"Jake Funk","RB"
"226",43296,"DeForest Buckner","DT"
"227",47970,"Juwann Winfree","WR"
"228",47961,"Gardner Minshew","QB"
"229",52453,"Antoine Winfield Jr.","FS"
"230",46132,"Carlton Davis III","CB"
"231",56540,"Christian Izien","SS"
"232",47788,"Devin White","OLB"
"233",47877,"Jamel Dean","CB"
"234",38588,"Lavonte David","ILB"
"235",46711,"Ryan Neal","SS"
"236",43971,"C.J. Ham","FB"
"237",55887,"Jordan Addison","WR"
"238",52584,"K.J. Osborn","WR"
"239",47791,"T.J. Hockenson","TE"
"240",38632,"Kirk Cousins","QB"
"241",52430,"Justin Jefferson","WR"
"242",54583,"Akayleb Evans","CB"
"243",47816,"Byron Murphy","CB"
"244",53554,"Camryn Bynum","FS"
"245",38559,"Harrison Smith","FS"
"246",42427,"Jordan Hicks","ILB"
"247",52613,"Josh Metellus","SS"
"248",44896,"Chris Godwin Jr.","WR"
"249",41233,"Mike Evans","WR"
"250",54556,"Rachaad White","RB"
"251",46070,"Baker Mayfield","QB"
"252",54683,"Ko Kieft","TE"
"253",55967,"Mekhi Blackmon","CB"
"254",53519,"Patrick Jones II","OLB"
"255",54571,"Cade Otton","TE"
"256",55075,"Deven Thompkins","WR"
"257",41915,"Shaquil Barrett","OLB"
"258",53461,"Joe Tryon-Shoyinka","OLB"
"259",47885,"Alexander Mattison","RB"
"260",47852,"Josh Oliver","TE"
"261",47890,"Anthony Nelson","OLB"
"262",55947,"Yaya Diaby","OLB"
"263",45094,"Johnny Mundt","TE"
"264",56527,"Ivan Pace Jr.","ILB"
"265",46203,"Chase Edmonds","RB"
"266",56056,"Trey Palmer","WR"
"267",54531,"Brian Asamoah II","ILB"
"268",54634,"Ty Chandler","RB"
"269",43426,"Dean Lowry","DE"
"270",42431,"Danielle Hunter","DE"
"271",52525,"D.J. Wonnum","OLB"
"272",56541,"Rakim Jarrett","WR"
"273",56663,"Sean Tucker","RB"
"274",46081,"Vita Vea","NT"
"275",54514,"Alontae Taylor","CB"
"276",38607,"Demario Davis","MLB"
"277",44851,"Marcus Maye","FS"
"278",44823,"Marshon Lattimore","CB"
"279",53505,"Paulson Adebo","CB"
"280",53489,"Pete Werner","ILB"
"281",40017,"Tyrann Mathieu","FS"
"282",39973,"DeAndre Hopkins","WR"
"283",53074,"Nick Westbrook-Ikhine","WR"
"284",54483,"Treylon Burks","WR"
"285",55946,"Tyjae Spears","RB"
"286",38538,"Ryan Tannehill","QB"
"287",54608,"Chig Okonkwo","TE"
"288",56011,"Jordan Howden","FS"
"289",47899,"Amani Hooker","SS"
"290",48268,"Azeez Al-Shaair","MLB"
"291",46110,"Harold Landry III","OLB"
"292",55184,"Jack Gibbens","ILB"
"293",43353,"Kevin Byard","FS"
"294",52469,"Kristian Fulton","CB"
"295",47822,"Sean Murphy-Bunting","CB"
"296",54476,"Chris Olave","WR"
"297",47920,"Foster Moreau","TE"
"298",44947,"Jamaal Williams","RB"
"299",52942,"Juwan Johnson","TE"
"300",41265,"Derek Carr","QB"
"301",43336,"Michael Thomas","WR"
"302",53529,"Elijah Molden","FS"
"303",54500,"Roger McCreary","CB"
"304",55133,"Rashid Shaheed","WR"
"305",52482,"Zack Baun","ILB"
"306",43334,"Derrick Henry","RB"
"307",47904,"Trevon Wesco","TE"
"308",46542,"Keith Kirkwood","WR"
"309",52746,"Kirk Merritt","WR"
"310",52571,"Kindle Vildor","CB"
"311",53932,"Adam Prentice","FB"
"312",46168,"Isaac Yiadom","CB"
"313",43396,"Chris Moore","WR"
"314",46141,"Nathan Shepherd","DE"
"315",55081,"Mike Brown","FS"
"316",52762,"Tony Jones","RB"
"317",55182,"Julius Chestnut","RB"
